,Total_Return,Annualized_Return,Annualized_Volatility,VaR_95,VaR_99,Expected_Shortfall_95,Expected_Shortfall_99,Max_Drawdown,Sharpe_Ratio,Skewness,Kurtosis
TSLA,17.62753613585377,0.34686762854359654,0.5946091968903925,-0.054781147499560055,-0.09413852097345207,-0.08234398684543284,-0.13034588681462667,-0.736322174421912,0.5497184205239425,0.30113394981422253,4.315851800382783
BND,0.18573211861283356,0.017497098501019215,0.055283110481331624,-0.004949010177224533,-0.008823650734646164,-0.007801884308870835,-0.0137435041044801,-0.18582109036913924,-0.04527425242879527,-0.945206629319143,36.20868091610307
SPY,2.88256312460823,0.14810861866529934,0.18175672626753553,-0.017095859206846798,-0.03311405005968347,-0.027833646477443304,-0.048129231045697496,-0.3371726856597145,0.7048356410025276,-0.3110669507125295,14.35807629576851
